StaID  EPI(km) AZI(degree) PGV(cm/s) T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE      ML  MD             txtfile
TWMB    42.000  302.493    0.102E-02   10.02   63.27   53.25   1.17   1.39   1.096  1.074  0.143E-04  0.969E-02   2.99   2.73  M10para_result.txt
ALSB     9.041   85.559    0.108E-02   77.18   94.89   17.70   0.55  -0.52   1.313  2.239  0.376E-03  0.154E-02   2.18   1.66  M11para_result.txt
SGSB    48.652  196.419    0.664E-03   65.90   95.55   29.65   1.00   1.61   1.315  0.686  0.198E-03  0.193E-02   2.95   2.24  M11para_result.txt
FULB    67.143  119.886    0.189E-03   76.52  111.48   34.96   1.17   1.07   1.152  1.506  0.289E-04  0.646E-03   2.83   2.45  M11para_result.txt
TPUB    24.339  203.622    0.569E-03   76.08   92.67   16.60   0.66  -0.84   1.580  0.725  0.205E-03  0.639E-03   2.61   1.66  M11para_result.txt
YULB    59.669  101.617    0.404E-04   89.13  118.56   29.43   0.90   0.75   1.034  0.861  0.121E-04  0.547E-04   2.35   2.28  M11para_result.txt
TPUB    93.244  231.461    0.462E-03  100.06  128.21   28.15   0.87  -0.14   1.451  0.497  0.833E-04  0.292E-02   3.42   2.36  M12para_result.txt
SGSB    11.514  215.504    0.618E-02   97.28  159.49   62.20   0.82   0.40   1.085  2.463  0.178E-02  0.194E-01   2.99   2.76  M14para_result.txt
ESLB   107.498   48.088    0.120E-03  124.90  175.00   50.10   0.80   0.26   1.005 -0.343  0.329E-04  0.784E-03   2.92   2.91  M14para_result.txt
WGKB    58.163  351.361    0.114E-02  122.62  178.88   56.26   1.00   1.73   1.236  0.518  0.258E-03  0.742E-02   3.50   2.83  M14para_result.txt
SCZB    87.997  181.864    0.157E-03  136.60  184.81   48.21   0.38  -0.19   1.127  1.280  0.625E-04  0.101E-03   3.16   2.80  M14para_result.txt
TAIH    45.172  251.952    0.647E-03  115.35  190.76   75.40   0.84  -0.10   1.066  2.408  0.748E-04  0.121E-01   3.24   3.04  M14para_result.txt
NANB   178.790   38.333    0.106E-03  145.75  209.11   63.36   0.33  -0.43   0.981  1.160  0.205E-04 -0.180E-05   3.30   3.36  M14para_result.txt
DPDB   100.000   15.957    0.583E-03  120.83  193.61   72.77   0.54   0.31   1.078  1.232  0.367E-04  0.131E-02   3.45   3.20  M14para_result.txt
WLGB    50.219  313.635    0.124E-02  118.66  197.20   78.53   0.42  -0.47   1.172  2.660  0.426E-03  0.143E-01   3.63   3.10  M14para_result.txt
FULB    65.388   86.605    0.299E-03  116.52  173.98   57.46   0.97   1.03   1.015  2.393  0.776E-04  0.181E-02   2.92   2.88  M14para_result.txt
TIPB   232.675   30.501    0.157E-03  178.04  201.55   23.51   0.11  -0.86   1.395  1.408  0.229E-04  0.994E-05   3.75   2.69  M14para_result.txt
TWGB    58.009  131.432    0.884E-03  113.35  179.52   66.17   0.93   1.05   1.054  3.231  0.295E-03  0.821E-03   3.14   2.97  M14para_result.txt
TPUB    15.238  349.799    0.169E-02   97.27  163.44   66.17   1.07   1.35   0.910  1.183  0.173E-03  0.232E-01   2.57   2.82  M14para_result.txt
SSLB    75.320   23.767    0.135E-03  126.06  160.04   33.98   0.33  -0.56   1.084  0.532  0.459E-04  0.635E-03   2.66   2.46  M14para_result.txt
CHGB   112.292   27.964    0.285E-03  119.64  195.51   75.87   0.49  -0.04   1.001  2.596  0.111E-03  0.148E-02   3.29   3.28  M14para_result.txt
HGSD    86.435   65.087    0.294E-02  125.80  173.62   47.82   0.76   0.11   1.398  3.262  0.769E-03  0.138E-01   3.90   2.79  M14para_result.txt
YULB    70.218   68.870    0.753E-04  114.56  182.25   67.69   0.55  -0.33   0.867  2.081  0.175E-04  0.988E-03   2.63   3.04  M14para_result.txt
MASB    61.260  182.230    0.914E-04  111.35  152.57   41.22   0.86   1.13   1.014  1.936  0.198E-04  0.569E-03   2.61   2.57  M14para_result.txt
YHNB   181.949   23.591    0.761E-04  146.08  192.51   46.43   0.39   0.12   1.110  2.076  0.301E-04  0.182E-03   3.44   3.10  M14para_result.txt
TWMB    44.477  211.311    0.183E-02  118.00  176.41   58.40   1.07   1.04   1.162  2.450  0.346E-03  0.134E-01   3.28   2.82  M14para_result.txt
ALSB    23.644   23.213    0.101E-02   48.52   66.24   17.72   0.29  -0.97   1.602  2.286  0.561E-03  0.331E-03   2.74   1.71  M15para_result.txt
SGSB    28.950  207.673    0.628E-03   54.12   73.23   19.10   0.61  -0.48   1.453  1.070  0.317E-03 -0.500E-03   2.61   1.79  M15para_result.txt
WGKB    44.043  339.444    0.116E-02   59.78   85.62   25.84   1.67   3.37   1.504  0.508  0.285E-03  0.258E-02   3.17   2.11  M15para_result.txt
SLBB   184.699   30.022    0.923E-04   56.87   69.62   12.75   0.41  -0.34   1.828  1.154  0.930E-05 -0.122E-04   3.63   1.99  M15para_result.txt
DPDB    82.525   14.585    0.553E-03   62.40  106.76   44.36   0.65   0.45   1.216  0.990  0.233E-04  0.575E-03   3.30   2.71  M15para_result.txt
WLGB    46.851  293.129    0.137E-02   60.27  112.11   51.85   0.73   0.97   1.268  1.770  0.124E-03  0.198E-01   3.45   2.72  M15para_result.txt
FULB    59.826  101.987    0.122E-03   60.80   91.61   30.81   0.36  -0.22   1.178  1.778  0.571E-04  0.174E-03   2.73   2.32  M15para_result.txt
TPUB     9.531  262.344    0.211E-02   45.52   55.92   10.41   0.42  -0.72   2.036  1.851  0.605E-03  0.334E-02   2.44   1.20  M15para_result.txt
YULB    59.441   81.277    0.683E-04   52.83   95.81   42.98   0.46  -0.42   0.872  1.356  0.150E-04  0.145E-03   2.27   2.60  M15para_result.txt
TWMB    61.944  208.846    0.689E-03   61.12  115.59   54.46   1.57   3.04   1.158  0.770  0.361E-04  0.768E-02   3.27   2.82  M15para_result.txt
ALSB    17.792  274.780    0.449E-01   83.37  113.48   30.12   1.22   1.10   1.928  3.804  0.472E-02  0.280E+00   4.14   2.15  M16para_result.txt
WGKB    47.402  296.346    0.159E-02  101.98  134.35   32.37   0.37  -0.17   1.513  1.168  0.387E-03  0.731E-02   3.50   2.32  M16para_result.txt
ELDB    34.313  173.459    0.544E-03  243.51  284.93   41.42   0.76   0.53   1.062  1.461  0.174E-03  0.271E-02   2.64   2.48  M16para_result.txt
EASB   123.979  186.205    0.106E-02  225.81  230.18    4.36   0.56  -0.38   4.468  2.473  0.356E-04  0.170E-02   3.77   0.84  M16para_result.txt
DPDB    59.914  354.098    0.539E-03  109.99  145.20   35.21   0.84   0.68   1.246  1.492  0.396E-04  0.134E-03   3.03   2.43  M16para_result.txt
FULB    45.386  136.208    0.555E-03  251.65  283.55   31.91   0.58  -0.31   1.209  2.620  0.124E-03  0.113E-03   2.78   2.30  M16para_result.txt
TIPB   184.324   27.349    0.723E-04  158.20  173.93   15.73   0.25  -0.48   1.616  1.993  0.212E-04 -0.643E-05   3.50   2.17  M16para_result.txt
TPUB    42.386  239.546    0.874E-03  249.40  280.71   31.32   2.30   8.76   1.271  0.387  0.396E-03 -0.726E-02   2.89   2.27  M16para_result.txt
SSLB    32.551  354.073    0.152E-03  109.10  125.27   16.16   0.88   0.78   1.257  0.676  0.401E-04  0.350E-03   2.09   1.66  M16para_result.txt
HGSD    44.602   90.326    0.166E-02  253.71  284.70   31.00   1.05   0.92   1.424  2.586  0.373E-03  0.815E-02   3.23   2.27  M16para_result.txt
ALSB    32.679  333.129    0.109E-01  122.98  159.01   36.03   0.49  -0.09   1.554  3.245  0.204E-02  0.921E-01   3.66   2.36  M17para_result.txt
CHKH    45.470  110.930    0.138E-03  125.84  165.38   39.55   1.18   2.25   0.989  0.738  0.260E-04  0.494E-03   2.46   2.48  M17para_result.txt
ESLB    79.817   38.091    0.159E-03  138.77  167.67   28.89   2.16   6.62   1.181 -0.601  0.374E-04 -0.398E-04   2.75   2.33  M17para_result.txt
WGKB    62.718  320.938    0.149E-02  140.10  161.95   21.85   0.42  -0.57   1.765  1.114  0.317E-03  0.173E-02   3.58   2.03  M17para_result.txt
ELDB     9.406  133.027    0.544E-03  124.09  152.54   28.45   0.57   0.26   0.916  1.495  0.245E-03  0.506E-03   1.90   2.07  M17para_result.txt
EASB    96.150  186.219    0.106E-02  106.17  110.11    3.94   0.68  -0.42   5.482  2.224  0.220E-03  0.952E-03   3.61   0.66  M17para_result.txt
SLBB   180.708   22.293    0.183E-03  137.04  155.52   18.48   0.96   2.91   1.617  1.685  0.218E-04 -0.210E-03   3.71   2.30  M17para_result.txt
NANB   153.805   31.464    0.876E-04  162.68  193.87   31.20   0.90   0.19   1.208  1.067  0.166E-04  0.104E-03   3.21   2.66  M17para_result.txt
DPDB    87.326  357.891    0.156E-03  147.35  184.37   37.02   1.15   0.64   1.231  1.050  0.391E-04  0.166E-03   3.17   2.57  M17para_result.txt
FULB    34.750   98.414    0.321E-03  134.58  175.04   40.46   0.78  -0.19   0.957  2.545  0.739E-04  0.118E-02   2.36   2.47  M17para_result.txt
TIPB   210.505   24.595    0.115E-03  185.54  204.38   18.83   0.73  -0.78   1.506  1.527  0.250E-04 -0.587E-04   3.64   2.42  M17para_result.txt
TPUB    34.137  280.431    0.874E-03  129.20  150.22   21.02   1.92   5.64   1.442  0.621  0.215E-03 -0.516E-03   2.73   1.89  M17para_result.txt
SSLB    60.048  359.611    0.152E-03  137.04  155.52   18.48   0.96   0.71   1.347  0.647  0.527E-04  0.213E-03   2.52   1.87  M17para_result.txt
HGSD    54.903   60.031    0.166E-02  134.58  175.04   40.46   1.19   1.35   1.339  2.518  0.379E-03  0.773E-02   3.40   2.54  M17para_result.txt
YULB    38.310   64.728    0.136E-03  129.45  160.10   30.65   1.00   1.03   0.979  2.360  0.303E-04  0.363E-03   2.19   2.24  M17para_result.txt
YHNB   163.330   14.996    0.122E-03  151.74  193.22   41.48   1.72   3.82   1.168  1.892  0.193E-04  0.353E-03   3.43   2.94  M17para_result.txt
TWMB    71.515  229.152    0.468E-03  157.55  173.02   15.47   0.61  -0.64   1.904  0.327  0.198E-03 -0.105E-03   3.35   1.76  M17para_result.txt
ALSB    84.530    1.958    0.104E-02   95.43  145.88   50.45   0.77   0.21   1.243  1.678  0.306E-03 -0.125E-02   3.52   2.83  M18para_result.txt
FULB    72.403   45.992    0.333E-03  100.24  118.11   17.86   0.33   0.06   1.576  1.524  0.549E-04  0.220E-03   2.97   1.89  M18para_result.txt
TIPB   268.292   23.059    0.413E-03  185.19  202.43   17.24   0.63   0.94   1.598  1.926  0.175E-04  0.418E-04   4.06   2.54  M18para_result.txt
TPUB    63.508  345.513    0.395E-03   84.75  117.20   32.45   0.80   0.19   1.264  0.317  0.127E-03  0.643E-03   3.00   2.37  M18para_result.txt
YULB    88.793   36.101    0.103E-03   92.70  130.46   37.76   1.42   2.26   1.006  1.662  0.815E-05  0.211E-03   2.61   2.59  M18para_result.txt
EASB    70.897  170.407    0.426E-03  124.44  139.01   14.56   1.46   1.96   1.662  1.555  0.196E-03 -0.139E-02   2.83   1.70  M19para_result.txt
FULB    60.135   69.907    0.414E-03   98.15  113.03   14.88   1.44   2.31   1.620  2.721  0.690E-04  0.772E-03   2.73   1.69  M19para_result.txt
SCZB    13.971  202.435    0.601E-02   89.54  103.12   13.58   1.43   1.10   2.277  2.374  0.162E-02 -0.834E-03   3.29   1.44  M20para_result.txt
TWMB    45.013  325.375    0.905E-03  109.94  154.99   45.06   0.87   1.41   1.167  1.047  0.155E-03  0.921E-04   3.03   2.60  M20para_result.txt
SLBB   269.202   21.045    0.150E-02  146.41  157.60   11.19   1.84   3.89   2.252 -2.545  0.647E-04  0.220E-02   4.89   2.17  M20para_result.txt
YULB   118.500   32.143    0.977E-04  129.68  136.82    7.14   0.21  -1.21   2.267  1.437  0.221E-04 -0.119E-04   2.84   1.25  M20para_result.txt
MASB    14.649  340.666    0.318E-03   90.79  110.37   19.58   0.68  -0.25   1.173  2.229  0.470E-04  0.124E-02   2.07   1.76  M20para_result.txt
ALSB    32.997    7.877    0.177E-02  196.16  214.95   18.79   0.81   0.41   1.749  2.497  0.482E-03  0.478E-02   3.14   1.79  M22para_result.txt
TWMB    55.485  218.721    0.553E-03  183.79  244.41   60.61   0.55   0.01   1.121  0.798  0.178E-03 -0.179E-02   3.24   2.89  M22para_result.txt
FULB    53.733   91.585    0.178E-03  168.65  199.79   31.14   0.98   1.02   1.189  1.438  0.822E-04 -0.422E-03   2.74   2.30  M22para_result.txt
TPUB    17.234  304.218    0.414E-03  164.33  187.69   23.37   0.58   0.19   1.201  0.425  0.207E-03 -0.826E-03   2.32   1.93  M22para_result.txt
YULB    57.524   69.703    0.642E-04  158.44  225.85   67.40   0.47   0.12   0.769  1.572  0.114E-04  0.308E-03   2.30   2.99  M22para_result.txt
MASB    67.976  191.881    0.193E-03  260.13  271.76   11.63   0.42  -0.13   1.831  1.947  0.204E-04  0.177E-03   2.74   1.50  M22para_result.txt
FULB    61.846   67.629    0.167E-03  139.04  170.58   31.54   0.56   0.68   1.158  1.595  0.556E-04 -0.504E-03   2.71   2.34  M23para_result.txt
TPUB    36.336  342.750    0.302E-03  131.74  150.47   18.73   0.31  -0.07   1.381  0.754  0.145E-03 -0.105E-03   2.49   1.80  M23para_result.txt
SCZB    18.101  237.188    0.301E-03  101.57  107.93    6.36   0.31  -0.88   2.603  2.107  0.144E-03  0.732E-04   2.08   0.80  M24para_result.txt
NANB   239.581   24.339    0.124E-03   57.44   66.48    9.04  -0.08  -0.52   1.937  1.229  0.157E-04  0.472E-04   3.64   1.88  M24para_result.txt
TIPB   298.001   20.836    0.139E-03  159.93  177.51   17.58   0.19  -0.76   1.506  2.113  0.160E-04  0.123E-03   4.01   2.66  M24para_result.txt
CHGB   181.836   12.857    0.693E-03   51.98   66.94   14.96   1.23   1.94   1.810  3.652  0.286E-03 -0.494E-03   3.83   2.12  M24para_result.txt
MASB    22.429  319.003    0.127E-03  101.39  114.75   13.36   0.48  -0.16   1.299  1.953  0.368E-04  0.819E-04   1.90   1.46  M24para_result.txt
TWMB    36.048  213.571    0.574E-03  189.84  213.27   23.44   1.18   1.60   1.446  2.164  0.170E-03  0.720E-03   2.89   2.00  M25para_result.txt
SLBB   210.682   29.025    0.584E-03  251.42  260.23    8.81   2.04   4.50   2.296 -1.206  0.698E-04  0.490E-03   4.03   1.76  M25para_result.txt
TPUB    22.971    1.173    0.354E-03  174.10  191.55   17.45   0.54  -0.18   1.353  0.875  0.157E-03  0.684E-05   2.29   1.69  M25para_result.txt
YHNB   190.522   23.494    0.490E-03  221.98  225.57    3.59   1.81   2.77   4.152 -0.034  0.405E-04  0.291E-03   3.77   0.91  M25para_result.txt
TWHB   107.331  130.048    0.373E-03   90.72  102.40   11.68   1.13   0.73   2.013  2.614  0.121E-03  0.349E-03   3.30   1.64  M26para_result.txt
ELDB    37.108  109.811    0.575E-03  130.35  144.02   13.67   0.45   0.95   1.586  1.921  0.208E-03  0.333E-03   2.43   1.53  M26para_result.txt
FULB    63.405  100.167    0.201E-03  140.90  166.78   25.88   0.45  -0.33   1.253  2.642  0.104E-03 -0.350E-03   2.73   2.18  M26para_result.txt
HGSD    78.491   74.221    0.104E-02  136.37  174.42   38.04   0.80   0.88   1.378  2.324  0.265E-03  0.451E-02   3.54   2.57  M26para_result.txt
YULB    63.469   80.708    0.867E-04  130.82  153.89   23.07   1.08   1.97   1.119  2.085  0.164E-04  0.306E-03   2.33   2.08  M26para_result.txt
ELDB    10.371  142.145    0.629E-03   95.91  103.53    7.62   0.24  -0.65   1.963  2.153  0.272E-03  0.543E-03   1.83   0.93  M27para_result.txt
FULB    34.552  101.447    0.440E-03  104.09  113.63    9.54   0.62  -0.17   1.986  2.821  0.198E-03  0.265E-03   2.40   1.21  M27para_result.txt
HGSD    53.591   61.400    0.210E-02  110.56  121.41   10.85   1.05   0.31   2.379  3.018  0.107E-02 -0.174E-02   3.30   1.39  M27para_result.txt
YULB    37.117   66.866    0.119E-03  101.44  118.86   17.41   1.01   0.33   1.067  2.772  0.442E-04  0.131E-04   1.86   1.74  M27para_result.txt
WGKB   132.092  346.763    0.516E-03  233.05  282.33   49.27   0.61   0.76   1.286 -0.237  0.146E-03 -0.153E-02   3.83   2.98  M28para_result.txt
ANPB   302.234   12.581    0.979E-03   34.60   66.38   31.79   0.37  -0.36   1.437 -0.599  0.678E-04  0.413E-03   4.59   3.19  M28para_result.txt
SCZB    14.395  268.396    0.282E-03  108.03  148.86   40.82   0.74   0.30   0.780  2.338  0.709E-04  0.157E-02   1.87   2.40  M29para_result.txt
TWMB    60.448  325.077    0.624E-03  126.22  204.40   78.18   0.59   0.20   1.017  1.678  0.862E-04  0.427E-02   3.18   3.13  M29para_result.txt
ECLB    31.636   39.014    0.857E-03  113.46  135.26   21.80   1.02   1.19   1.336  0.476  0.272E-03  0.164E-03   2.56   1.92  M29para_result.txt
EASB     9.175   84.932    0.116E-02  152.81  156.60    3.79   1.38   1.34   6.454  1.895  0.215E-03  0.420E-03   2.06   0.32  M29para_result.txt
SLBB   277.920   18.411    0.295E-03  110.03  122.55   12.53   1.06   0.49   1.783  1.446  0.811E-04 -0.189E-03   4.10   2.30  M29para_result.txt
NANB   248.510   23.616    0.231E-03  117.57  122.81    5.24   2.13   4.81   2.602  0.652  0.273E-04  0.155E-03   3.74   1.44  M29para_result.txt
FULB   106.038   30.499    0.106E-03  129.19  198.39   69.19   0.93   1.35   0.960  2.057  0.317E-04  0.501E-03   3.05   3.18  M29para_result.txt
TIPB   307.096   20.353    0.312E-03  113.15  131.40   18.25   0.63   0.32   1.514  1.562  0.713E-05  0.114E-03   4.13   2.73  M29para_result.txt
TWGB    58.629   33.080    0.537E-03  120.41  192.61   72.20   0.83   1.06   0.994  2.890  0.207E-03 -0.383E-04   3.03   3.05  M29para_result.txt
MASB    29.773  332.187    0.320E-03  106.74  138.53   31.79   1.36   1.56   1.039  3.304  0.639E-04  0.149E-02   2.33   2.24  M29para_result.txt
YHNB   261.561   13.598    0.397E-03  111.10  113.06    1.97   0.38  -1.04   6.081 -0.107  0.124E-03  0.128E-03   3.85   0.63  M29para_result.txt
CHKH    82.638   43.718    0.997E-04  149.26  249.60  100.34   0.69   0.45   0.858  0.929  0.330E-04  0.518E-03   2.94   3.42  M30para_result.txt
ESLB   152.759   24.689    0.824E-04  165.97  235.77   69.81   0.63   0.13   0.931 -0.598  0.153E-04  0.114E-02   3.12   3.35  M30para_result.txt
WGKB   127.062  348.677    0.539E-03  158.20  243.61   85.40   0.63   0.13   1.116  0.123  0.173E-03  0.485E-02   3.84   3.44  M30para_result.txt
SCZB    28.377  222.653    0.100E-02  128.13  198.74   70.61   0.48  -0.27   0.942  2.868  0.144E-03  0.130E-01   2.76   2.93  M30para_result.txt
TWHB    69.925   79.293    0.371E-03  152.97  238.94   85.96   0.56  -0.08   0.995  2.443  0.101E-03  0.286E-02   3.23   3.24  M30para_result.txt
TWMB    49.004  306.432    0.152E-02  139.36  213.96   74.60   0.68   0.35   1.069  2.660  0.190E-03  0.193E-01   3.26   3.05  M30para_result.txt
ECLB    15.633   74.787    0.238E-02  121.94  183.46   61.52   1.03   0.81   0.912  1.697  0.265E-03  0.246E-01   2.52   2.76  M30para_result.txt
SLBB   256.975   18.848    0.375E-03  210.10  279.61   69.50   0.76   0.03   1.102  0.438  0.299E-04 -0.145E-03   4.09   3.71  M30para_result.txt
NANB   227.847   24.582    0.648E-04  200.17  283.65   83.48   0.78   0.81   0.910  0.793  0.205E-04 -0.491E-03   3.43   3.77  M30para_result.txt
DPDB   163.586    3.970    0.257E-03  173.30  268.26   94.96   0.82   0.24   0.954  0.606  0.297E-04  0.192E-02   3.49   3.66  M30para_result.txt
FULB    86.170   34.662    0.345E-03  143.87  215.66   71.78   0.66  -0.07   0.993  2.753  0.554E-04  0.452E-02   3.12   3.14  M30para_result.txt
WSSB    57.557  279.255    0.934E-03  154.84  284.26  129.42   0.71   0.56   0.980  2.056  0.324E-03  0.290E-03   3.48   3.56  M30para_result.txt
TIPB   286.232   20.889    0.171E-03  193.34  284.47   91.13   0.66  -0.04   0.955  1.723  0.164E-04 -0.938E-05   3.87   4.05  M30para_result.txt
TWGB    39.485   43.496    0.208E-02  130.43  219.51   89.08   0.96   0.59   1.053  3.377  0.263E-03  0.276E-01   3.34   3.17  M30para_result.txt
TPUB    84.237  346.996    0.216E-03  148.25  209.56   61.31   0.61   0.92   0.982  0.745  0.535E-04  0.202E-02   2.95   3.00  M30para_result.txt
TWKB    68.434  180.216    0.730E-03  161.67  203.15   41.48   0.50   0.30   1.364  2.791  0.224E-03  0.416E-02   3.55   2.61  M30para_result.txt
SSLB   136.711    5.945    0.340E-03  105.46  115.46   10.00   1.39   2.43   1.976  0.367  0.934E-04  0.176E-03   3.18   1.61  M30para_result.txt
CHGB   170.160   12.385    0.385E-03  182.18  258.90   76.73   0.69   0.43   1.049  2.751  0.156E-03 -0.262E-03   3.67   3.50  M30para_result.txt
HGSD   120.647   31.014    0.173E-02  157.09  222.13   65.04   0.96   1.27   1.214  2.892  0.303E-03  0.189E-01   3.86   3.18  M30para_result.txt
YULB   104.634   28.081    0.590E-04  159.67  212.86   53.19   0.39  -0.41   0.928  2.135  0.115E-04  0.804E-03   2.73   2.95  M30para_result.txt
MASB    19.619  287.397    0.872E-03  120.22  182.90   62.68   0.67   0.37   0.964  3.146  0.127E-03  0.110E-01   2.69   2.79  M30para_result.txt
YHNB   240.525   13.644    0.851E-04  178.46  291.28  112.82   0.79   0.99   0.874  1.942  0.188E-04  0.659E-03   3.56   4.08  M30para_result.txt
ALSB    99.443    1.194    0.101E-02   24.07  153.84  129.77   0.87   1.24   0.951  2.139  0.518E-03 -0.160E-01   3.52   3.70  M31para_result.txt
CHKH    80.312   47.661    0.128E-03   42.03  116.47   74.44   0.50   0.27   0.926  1.300  0.343E-04  0.533E-03   2.92   3.15  M31para_result.txt
ESLB   148.641   26.382    0.824E-04   51.86  108.22   56.36   0.53   0.04   0.984 -0.536  0.233E-04  0.589E-03   3.10   3.15  M31para_result.txt
WGKB   121.089  349.193    0.539E-03   63.42   98.12   34.70   0.25  -0.48   1.444  0.272  0.269E-03 -0.140E-04   3.80   2.63  M31para_result.txt
SCZB    31.479  212.606    0.100E-02   22.45   60.98   38.53   0.25  -0.21   1.171  2.882  0.321E-03  0.271E-02   2.83   2.41  M31para_result.txt
TWHB    71.347   84.081    0.371E-03   43.29  104.59   61.29   0.37  -0.18   1.099  2.434  0.126E-03  0.142E-02   3.25   2.95  M31para_result.txt
TWMB    43.949  302.250    0.152E-02   36.29   91.26   54.96   0.63   0.48   1.149  2.641  0.517E-03 -0.379E-03   3.18   2.76  M31para_result.txt
ELDB    68.153   20.402    0.265E-03   19.77   56.03   36.25   0.51   0.47   1.123  1.586  0.112E-03 -0.208E-03   2.79   2.49  M31para_result.txt
ECLB    17.414   95.072    0.238E-02   15.71   56.00   40.29   0.77   0.38   1.074  1.767  0.589E-03  0.905E-02   2.58   2.40  M31para_result.txt
SLBB   252.395   19.739    0.270E-03   89.27  116.01   26.75  -0.04  -0.60   1.375  1.246  0.259E-04  0.300E-03   3.94   2.87  M31para_result.txt
